n,p,seed,k,method,found,solution,valid,timeout,num_variables,num_clauses,encoding_time,solver_time,total_time
30,0.5,1,9,cadical,False,[],True,False,219,584,0.001139499999999849,0.009433600000000375,0.010573100000000224
30,0.5,1,12,backtracking,False,[],True,False,,,,0.011064999999999436,0.011064999999999436
30,0.5,1,12,minisat,False,[],True,False,246,644,0.0012653000000000247,0.0031550999999998552,0.00442039999999988
30,0.5,1,12,cadical,False,[],True,False,246,644,0.0012653000000000247,0.007682800000000434,0.008948100000000458
30,0.5,2,9,backtracking,False,[],True,False,,,,0.021662800000000537,0.021662800000000537
30,0.5,2,9,minisat,False,[],True,False,219,582,0.001156599999999841,0.003339899999999396,0.004496499999999237
30,0.5,2,9,cadical,False,[],True,False,219,582,0.001156599999999841,0.008819400000000144,0.009975999999999985
30,0.5,2,12,backtracking,False,[],True,False,,,,0.013379099999999866,0.013379099999999866
30,0.5,2,12,minisat,False,[],True,False,246,642,0.0012975999999991217,0.002806800000000109,0.004104399999999231
30,0.5,2,12,cadical,False,[],True,False,246,642,0.0012975999999991217,0.007774100000000672,0.009071699999999794
30,0.5,3,9,backtracking,False,[],True,False,,,,0.027097600000001165,0.027097600000001165
30,0.5,3,9,minisat,False,[],True,False,219,582,0.0012230999999989223,0.003555500000000933,0.004778599999999855
30,0.5,3,9,cadical,False,[],True,False,219,582,0.0012230999999989223,0.009294199999999364,0.010517299999998286
30,0.5,3,12,backtracking,False,[],True,False,,,,0.01595400000000069,0.01595400000000069
30,0.5,3,12,minisat,False,[],True,False,246,642,0.0013062999999995384,0.0029260999999998205,0.004232399999999359
30,0.5,3,12,cadical,False,[],True,False,246,642,0.0013062999999995384,0.007649200000001244,0.008955500000000782
30,0.8,1,9,backtracking,False,[],True,False,,,,0.003647300000000797,0.003647300000000797
30,0.8,1,9,minisat,False,[],True,False,219,711,0.0013366000000001321,0.003241199999999722,0.004577799999999854
30,0.8,1,9,cadical,False,[],True,False,219,711,0.0013366000000001321,0.007324599999998682,0.008661199999998814
30,0.8,1,12,backtracking,False,[],True,False,,,,0.0023830999999994162,0.0023830999999994162
30,0.8,1,12,minisat,False,[],True,False,246,771,0.0016564999999992835,0.0031143999999994065,0.00477089999999869
30,0.8,1,12,cadical,False,[],True,False,246,771,0.0016564999999992835,0.007547999999999888,0.009204499999999172
30,0.8,2,9,backtracking,False,[],True,False,,,,0.003723599999998939,0.003723599999998939
30,0.8,2,9,minisat,False,[],True,False,219,714,0.001436599999999899,0.0029949999999985266,0.004431599999998426
30,0.8,2,9,cadical,False,[],True,False,219,714,0.001436599999999899,0.007981900000000763,0.009418500000000662
30,0.8,2,12,backtracking,False,[],True,False,,,,0.002725399999999212,0.002725399999999212
30,0.8,2,12,minisat,False,[],True,False,246,774,0.0015905000000007163,0.0029821000000005427,0.004572600000001259
30,0.8,2,12,cadical,False,[],True,False,246,774,0.0015905000000007163,0.007604300000000563,0.00919480000000128
30,0.8,3,9,backtracking,False,[],True,False,,,,0.005111099999998814,0.005111099999998814
30,0.8,3,9,minisat,False,[],True,False,219,710,0.0012866000000002487,0.003272100000000222,0.004558700000000471
30,0.8,3,9,cadical,False,[],True,False,219,710,0.0012866000000002487,0.007335499999999939,0.008622100000000188
30,0.8,3,12,backtracking,False,[],True,False,,,,0.0036775000000002223,0.0036775000000002223
30,0.8,3,12,minisat,False,[],True,False,246,770,0.0013220000000000454,0.0029239000000007564,0.004245900000000802
30,0.8,3,12,cadical,False,[],True,False,246,770,0.0013220000000000454,0.00789620000000113,0.009218200000001175
40,0.2,1,12,backtracking,True,"[0, 2, 4, 8, 11, 19, 24, 28, 31, 32, 33, 37]",True,False,,,,0.003347899999999626,0.003347899999999626
40,0.2,1,12,minisat,True,"[0, 2, 6, 11, 16, 19, 23, 28, 31, 32, 33, 37]",True,False,376,805,0.0019660999999988604,0.003436600000000567,0.005402699999999427
40,0.2,1,12,cadical,True,"[0, 5, 8, 11, 19, 22, 23, 32, 34, 37, 38, 39]",True,False,376,805,0.0019660999999988604,0.008387100000000203,0.010353199999999063
